Style,Color,Collection,Optical,SKU,Male,Female,Active
Gladstone,Brushed Ink,Titanium Collection,Optical,Gladstone-2101,1,0,1
Kingsley,Brushed Sterling,Titanium Collection,Optical,Kingsley-2303,0,0,0
Kingsley,Brushed Topaz,Titanium Collection,Optical,Kingsley-2201,0,0,0
Marlowe,Brushed Platinum,Titanium Collection,Optical,Marlowe-2301,1,1,1
Marlowe,Copper Alloy,Titanium Collection,Optical,Marlowe-2260,1,1,1
Pelham,Brushed Topaz,Titanium Collection,Optical,Pelham-2201,1,0,1
Pelham,Obsidian,Titanium Collection,Optical,Pelham-2300,1,0,1
Quincy,Brushed Ink,Titanium Collection,Optical,Quincy-2101,1,1,1
Quincy,Brushed Opal,Titanium Collection,Optical,Quincy-2501,1,1,1
Sawyer,Brushed Gold,Titanium Collection,Optical,Sawyer-2401,1,1,1
Sawyer,Brushed Granite,Titanium Collection,Optical,Sawyer-2151,1,1,1
Walden,Brushed Topaz,Titanium Collection,Optical,Walden-2201,1,1,1
Walden,Obsidian,Titanium Collection,Optical,Walden-2300,1,1,1
Beckett,Revolver Black Matte,Winter 2011 Collection,Optical,Beckett-101,1,1,1
Beckett,Striped Chestnut,Winter 2011 Collection,Optical,Beckett-230,1,1,1
Beckett,Striped Evergreen,Winter 2011 Collection,Optical,Beckett-231,1,1,1
Begley,Greystone,Winter 2011 Collection,Optical,Begley-150,1,1,1
Begley,Midnight Blue,Winter 2011 Collection,Optical,Begley-350,1,1,1
Begley,Whiskey Tortoise,Winter 2011 Collection,Optical,Begley-200,1,1,1
Carlen,Amber,Winter 2011 Collection,Optical,Carlen-220,0,1,1
Carlen,Revolver Black,Winter 2011 Collection,Optical,Carlen-100,0,1,1
Carlen,Striped Evergreen,Winter 2011 Collection,Optical,Carlen-231,0,1,1
Crosby,Burgundy Fade,Winter 2011 Collection,Optical,Crosby-313,1,1,1
Crosby,Greystone,Winter 2011 Collection,Optical,Crosby-150,1,1,1
Crosby,Revolver Black,Winter 2011 Collection,Optical,Crosby-100,1,1,1
Felton,Old Fashioned Fade,Winter 2011 Collection,Optical,Felton-273,1,0,1
Felton,Revolver Black,Winter 2011 Collection,Optical,Felton-100,1,0,1
Felton,Striped Maple,Winter 2011 Collection,Optical,Felton-232,1,0,1
Fitz,Blonde Tortoise,Winter 2011 Collection,Optical,Fitz-305,1,1,1
Fitz,Whiskey Tortoise,Winter 2011 Collection,Optical,Fitz-200,1,1,1
Griffin,Greystone,Winter 2011 Collection,Optical,Griffin-150,0,0,0
Griffin,Revolver Black,Winter 2011 Collection,Optical,Griffin-100,0,0,0
Larkin,Lunar Fade,Winter 2011 Collection,Optical,Larkin-143,1,0,1
Larkin,Oakwood Brown,Winter 2011 Collection,Optical,Larkin-260,1,0,1
Larkin,Revolver Black,Winter 2011 Collection,Optical,Larkin-100,1,0,1
Leigh,Burgundy Fade,Winter 2011 Collection,Optical,Leigh-313,1,0,1
Leigh,Revolver Black Crystal,Winter 2011 Collection,Optical,Leigh-102,0,1,1
Leigh,Sandalwood Matte,Winter 2011 Collection,Optical,Leigh-210,0,1,1
Monroe,Revolver Black Matte,Winter 2011 Collection,Optical,Monroe-101,0,0,0
Monroe,Striped Maple,Winter 2011 Collection,Optical,Monroe-232,0,0,0
